,iterator,event_type,global_time_end
0,0,encoding,6.000007750000805
1,1,jitter,10.000006333342753
2,2,encoding,16.00000745835132
3,3,jitter,18.000006583344657
4,4,encoding,24.000007750000805
5,5,jitter,28.000006333342753
6,6,encoding,34.000009166658856
7,7,jitter,38.00000654166797
8,8,encoding,44.00000875000842
9,9,jitter,45.00000745835132
10,10,encoding,51.00000762499985
11,11,jitter,54.000006999995094
12,12,encoding,60.00000662499224
13,13,jitter,63.00000762499985
14,14,encoding,69.00000658334466
15,15,jitter,73.0000082916522
16,16,encoding,79.00000787500176
17,17,jitter,81.00000779167749
18,18,encoding,87.00000791667844
19,19,jitter,90.00000604166416
20,20,encoding,96.00000695834751
21,21,jitter,99.00000687499414
22,22,encoding,105.00000770832412
23,23,jitter,106.00000649999129
24,24,encoding,112.00000787500176
25,25,jitter,113.00000658334466
26,26,encoding,119.00000629166607
27,27,jitter,123.00000654166797
28,28,encoding,129.0000067499932
29,29,jitter,131.00000612498843
30,30,encoding,137.00000787500176
31,31,jitter,139.00000624998938
32,32,encoding,145.0000080000027
33,33,jitter,147.00000783332507
34,34,encoding,153.0000069583475
35,35,jitter,155.00000612498843
36,36,encoding,161.00000704167178
37,37,jitter,164.00000641666702
38,38,encoding,170.00000812500366
39,39,jitter,172.0000064583437
40,40,encoding,178.00000850000652
41,41,jitter,179.0000074999989
42,42,encoding,185.00000637499033
43,43,jitter,188.00000762499985
44,44,encoding,194.0000069583475
45,45,jitter,196.00000816665124
46,46,encoding,202.00000587498653
47,47,jitter,204.0000075416756
